Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
3657,92,20,253.55,3,4,4,344,11,LOYAL
1905,73,26,253.51,3,4,4,344,11,LOYAL
4078,46,16,253.12,4,4,4,444,12,CHAMP
2918,19,21,252.6,4,4,4,444,12,CHAMP
3180,72,36,251.47,3,4,4,344,11,LOYAL
3251,4,21,248.12,4,4,4,444,12,CHAMP
3957,229,24,248.11,2,4,4,244,10,RISK
1654,51,23,247.84,4,4,4,444,12,CHAMP
4303,5,25,245.37,4,4,4,444,12,CHAMP
3761,95,21,245.11,3,4,4,344,11,LOYAL
1407,154,22,245.05,2,4,4,244,10,RISK
1866,52,18,244.5,4,4,4,444,12,CHAMP
3543,80,22,244.35,3,4,4,344,11,LOYAL
4683,98,20,244.05,3,4,4,344,11,LOYAL
3120,7,24,243.5,4,4,4,444,12,CHAMP
4831,47,26,242.66,4,4,4,444,12,CHAMP
4836,47,19,242.0,4,4,4,444,12,CHAMP
2184,23,24,241.86,4,4,4,444,12,CHAMP
2443,45,21,241.7,4,4,4,444,12,CHAMP
4280,24,15,241.6,4,4,4,444,12,CHAMP
3361,161,22,240.5,2,4,4,244,10,RISK
4272,207,26,240.4,2,4,4,244,10,RISK
2271,40,30,240.2,4,4,4,444,12,CHAMP
2625,42,30,239.96,4,4,4,444,12,CHAMP
3768,84,16,239.92,3,4,4,344,11,LOYAL
4338,80,28,239.76,3,4,4,344,11,LOYAL
2960,11,25,239.26,4,4,4,444,12,CHAMP
4234,150,20,237.4,2,4,4,244,10,RISK
2772,26,16,237.21,4,4,4,444,12,CHAMP
2794,92,18,236.4,3,4,4,344,11,LOYAL
2729,97,18,236.3,3,4,4,344,11,LOYAL
4328,123,12,236.01,3,3,4,334,10,LOYAL
1353,324,21,235.4,1,4,4,144,9,CANT_LOSE
4434,100,15,235.12,3,4,4,344,11,LOYAL
1565,16,19,234.79,4,4,4,444,12,CHAMP
1889,124,17,234.75,3,4,4,344,11,LOYAL
3048,20,19,234.0,4,4,4,444,12,CHAMP
3918,191,13,232.92,2,3,4,234,9,LOYAL
1787,60,13,232.7,3,3,4,334,10,LOYAL
4389,13,17,231.45,4,4,4,444,12,CHAMP
2344,13,25,230.0,4,4,4,444,12,CHAMP
3737,18,33,229.58,4,4,4,444,12,CHAMP
2870,66,13,228.61,3,3,4,334,10,LOYAL
3635,17,21,228.33,4,4,4,444,12,CHAMP
1761,89,18,228.23,3,4,4,344,11,LOYAL
3691,128,23,227.37,3,4,4,344,11,LOYAL
1862,116,15,225.65,3,4,4,344,11,LOYAL
1065,47,14,225.42,4,4,4,444,12,CHAMP
4695,78,26,225.41,3,4,4,344,11,LOYAL
1366,31,25,224.1,4,4,4,444,12,CHAMP
2524,25,27,223.95,4,4,4,444,12,CHAMP
2070,11,24,223.85,4,4,4,444,12,CHAMP
3531,123,17,223.5,3,4,4,344,11,LOYAL
3465,59,22,223.34,3,4,4,344,11,LOYAL
2440,194,25,223.3,2,4,4,244,10,RISK
2270,91,22,222.42,3,4,4,344,11,LOYAL
3752,131,27,222.36,3,4,4,344,11,LOYAL
1175,183,19,222.36,2,4,4,244,10,RISK
2138,301,18,221.86,1,4,4,144,9,CANT_LOSE
3050,15,32,221.55,4,4,4,444,12,CHAMP
3535,120,15,221.5,3,4,4,344,11,LOYAL
3822,96,19,221.47,3,4,4,344,11,LOYAL
4875,65,28,221.41,3,4,4,344,11,LOYAL
3246,125,22,221.4,3,4,4,344,11,LOYAL
2394,38,29,221.0,4,4,4,444,12,CHAMP
3221,184,22,220.9,2,4,4,244,10,RISK
1651,13,16,220.36,4,4,4,444,12,CHAMP
1259,33,14,220.04,4,4,4,444,12,CHAMP
2738,51,21,220.0,4,4,4,444,12,CHAMP
1949,161,15,219.81,2,4,4,244,10,RISK
1090,70,12,219.2,3,3,4,334,10,LOYAL
1677,21,11,219.01,4,3,4,434,11,POT_LOYAL
2779,3,21,218.15,4,4,4,444,12,CHAMP
3495,42,22,217.85,4,4,4,444,12,CHAMP
1379,170,28,217.85,2,4,4,244,10,RISK
4417,226,15,217.21,2,4,4,244,10,RISK
1522,371,19,216.2,1,4,4,144,9,CANT_LOSE
2855,52,23,215.01,4,4,4,444,12,CHAMP
3776,165,17,214.9,2,4,4,244,10,RISK
1038,16,19,214.2,4,4,4,444,12,CHAMP
3830,73,23,214.05,3,4,4,344,11,LOYAL
4636,264,17,213.57,2,4,4,244,10,RISK
3651,75,21,213.56,3,4,4,344,11,LOYAL
4243,130,16,213.34,3,4,4,344,11,LOYAL
2758,41,20,212.9,4,4,4,444,12,CHAMP
3201,33,17,212.42,4,4,4,444,12,CHAMP
4235,11,19,211.84,4,4,4,444,12,CHAMP
3225,18,18,211.71,4,4,4,444,12,CHAMP
4666,28,20,210.57,4,4,4,444,12,CHAMP
2229,8,22,210.51,4,4,4,444,12,CHAMP
3960,70,22,210.1,3,4,4,344,11,LOYAL
2492,50,20,209.84,4,4,4,444,12,CHAMP
1466,29,22,209.8,4,4,4,444,12,CHAMP
2789,212,23,209.61,2,4,4,244,10,RISK
1136,57,19,209.08,3,4,4,344,11,LOYAL
3732,24,21,209.02,4,4,4,444,12,CHAMP
2663,70,27,208.83,3,4,4,344,11,LOYAL
2512,119,26,208.22,3,4,4,344,11,LOYAL
1051,50,20,207.37,4,4,4,444,12,CHAMP
3484,39,23,207.33,4,4,4,444,12,CHAMP
4789,110,11,207.05,3,3,4,334,10,LOYAL
1819,12,17,206.91,4,4,4,444,12,CHAMP
4486,28,26,206.66,4,4,4,444,12,CHAMP
3973,119,16,205.9,3,4,4,344,11,LOYAL
1574,148,23,205.7,2,4,4,244,10,RISK
4800,6,15,205.6,4,4,4,444,12,CHAMP
3248,194,21,205.45,2,4,4,244,10,RISK
1625,33,18,205.26,4,4,4,444,12,CHAMP
2251,190,16,205.0,2,4,4,244,10,RISK
1004,28,21,204.97,4,4,4,444,12,CHAMP
3562,0,18,204.76,4,4,4,444,12,CHAMP
1940,42,11,204.15,4,3,4,434,11,POT_LOYAL
2447,2,21,204.0,4,4,4,444,12,CHAMP
4523,63,12,203.95,3,3,4,334,10,LOYAL
3416,45,14,203.81,4,4,4,444,12,CHAMP
3164,91,21,203.76,3,4,4,344,11,LOYAL
1430,13,16,203.6,4,4,4,444,12,CHAMP
2426,113,17,203.52,3,4,4,344,11,LOYAL
4499,62,15,203.27,3,4,4,344,11,LOYAL
1609,13,15,203.1,4,4,4,444,12,CHAMP
2511,169,21,202.74,2,4,4,244,10,RISK
2294,98,22,202.01,3,4,4,344,11,LOYAL
2549,128,16,201.92,3,4,4,344,11,LOYAL
3946,41,13,201.7,4,3,4,434,11,POT_LOYAL
2033,319,11,201.5,1,3,4,134,8,LOYAL
4828,80,23,201.41,3,4,4,344,11,LOYAL
1991,21,23,201.21,4,4,4,444,12,CHAMP
1653,23,18,201.0,4,4,4,444,12,CHAMP
4656,5,21,200.3,4,4,4,444,12,CHAMP
3922,124,17,200.25,3,4,4,344,11,LOYAL
3950,25,15,200.01,4,4,4,444,12,CHAMP
1182,31,16,199.82,4,4,4,444,12,CHAMP
1983,143,16,199.6,2,4,4,244,10,RISK
4756,103,14,198.51,3,4,4,344,11,LOYAL
1312,226,14,197.81,2,4,4,244,10,RISK
1890,217,8,197.2,2,2,4,224,8,LOYAL
2601,69,19,197.0,3,4,4,344,11,LOYAL
3119,185,17,196.81,2,4,4,244,10,RISK
3499,240,18,196.03,2,4,4,244,10,RISK
1913,134,16,195.7,3,4,4,344,11,LOYAL
1360,14,16,195.21,4,4,4,444,12,CHAMP
4487,163,19,194.71,2,4,4,244,10,RISK
2555,7,15,194.4,4,4,4,444,12,CHAMP
1218,1,20,194.22,4,4,4,444,12,CHAMP
4941,319,26,194.04,1,4,4,144,9,CANT_LOSE
1087,138,21,193.82,3,4,4,344,11,LOYAL
2650,38,16,193.72,4,4,4,444,12,CHAMP
1979,39,17,193.7,4,4,4,444,12,CHAMP
3855,28,18,193.5,4,4,4,444,12,CHAMP
4236,35,14,193.4,4,4,4,444,12,CHAMP
4512,9,15,193.21,4,4,4,444,12,CHAMP
1785,9,19,193.0,4,4,4,444,12,CHAMP
1921,49,14,193.0,4,4,4,444,12,CHAMP
1336,270,9,192.85,2,2,4,224,8,LOYAL
1618,150,16,192.72,2,4,4,244,10,RISK
3915,91,31,192.64,3,4,4,344,11,LOYAL
2716,98,16,192.11,3,4,4,344,11,LOYAL
1567,263,17,192.08,2,4,4,244,10,RISK
2346,104,15,191.9,3,4,4,344,11,LOYAL
3709,65,21,191.84,3,4,4,344,11,LOYAL
4257,131,13,191.75,3,3,4,334,10,LOYAL
3462,45,25,191.49,4,4,4,444,12,CHAMP
4218,88,12,191.35,3,3,4,334,10,LOYAL
3983,112,11,191.1,3,3,4,334,10,LOYAL
3879,27,17,191.07,4,4,4,444,12,CHAMP
1452,35,15,191.05,4,4,4,444,12,CHAMP
1465,51,17,190.97,4,4,4,444,12,CHAMP
4783,69,21,190.16,3,4,4,344,11,LOYAL
2408,112,21,189.94,3,4,4,344,11,LOYAL
3763,186,13,189.91,2,3,4,234,9,LOYAL
4510,118,17,189.77,3,4,4,344,11,LOYAL
4187,63,21,189.73,3,4,4,344,11,LOYAL
4958,172,13,189.71,2,3,4,234,9,LOYAL
4292,25,20,189.7,4,4,4,444,12,CHAMP
3938,152,16,189.62,2,4,4,244,10,RISK
1438,32,17,188.95,4,4,4,444,12,CHAMP
4330,191,18,188.9,2,4,4,244,10,RISK
3405,261,18,188.1,2,4,4,244,10,RISK
3031,12,15,187.81,4,4,4,444,12,CHAMP
2996,95,14,187.8,3,4,4,344,11,LOYAL
2171,118,18,187.5,3,4,4,344,11,LOYAL
3877,104,16,187.4,3,4,4,344,11,LOYAL
1013,89,19,186.76,3,4,4,344,11,LOYAL
2230,216,17,186.61,2,4,4,244,10,RISK
4316,353,20,186.46,1,4,4,144,9,CANT_LOSE
1777,27,20,185.91,4,4,4,444,12,CHAMP
1934,146,19,185.82,2,4,4,244,10,RISK
1887,51,22,185.8,4,4,4,444,12,CHAMP
3115,427,16,185.54,1,4,4,144,9,CANT_LOSE
2690,56,17,185.5,4,4,4,444,12,CHAMP
1410,52,26,184.45,4,4,4,444,12,CHAMP
1170,29,20,184.44,4,4,4,444,12,CHAMP
3633,1,16,184.44,4,4,4,444,12,CHAMP
4351,131,13,184.4,3,3,4,334,10,LOYAL
1554,223,15,183.51,2,4,4,244,10,RISK
1216,127,14,183.21,3,4,4,344,11,LOYAL
4197,57,17,183.1,3,4,4,344,11,LOYAL
1888,207,14,183.1,2,4,4,244,10,RISK
3584,13,14,183.1,4,4,4,444,12,CHAMP
1006,199,15,182.94,2,4,4,244,10,RISK
1792,137,13,182.85,3,3,4,334,10,LOYAL
1220,1,16,182.45,4,4,4,444,12,CHAMP
4671,151,22,182.45,2,4,4,244,10,RISK
2086,211,20,182.4,2,4,4,244,10,RISK
1572,100,20,182.1,3,4,4,344,11,LOYAL
1023,185,17,182.0,2,4,4,244,10,RISK
3402,136,21,181.52,3,4,4,344,11,LOYAL
1734,170,17,181.0,2,4,4,244,10,RISK
1287,124,17,180.92,3,4,4,344,11,LOYAL
3909,324,16,180.87,1,4,4,144,9,CANT_LOSE
1908,157,20,180.64,2,4,4,244,10,RISK
2017,68,16,180.4,3,4,4,344,11,LOYAL
4826,198,13,180.31,2,3,4,234,9,LOYAL
2839,60,8,180.3,3,2,4,324,9,LOYAL
4130,54,16,180.21,4,4,4,444,12,CHAMP
4867,62,11,180.0,3,3,4,334,10,LOYAL
2120,84,14,180.0,3,4,4,344,11,LOYAL
4589,22,16,179.91,4,4,4,444,12,CHAMP
1932,114,20,179.82,3,4,4,344,11,LOYAL
4540,71,12,179.76,3,3,4,334,10,LOYAL
1129,374,13,179.64,1,3,4,134,8,LOYAL
1324,3,14,179.2,4,4,4,444,12,CHAMP
4742,45,15,179.11,4,4,4,444,12,CHAMP
1649,31,18,178.71,4,4,4,444,12,CHAMP
2629,24,19,178.55,4,4,4,444,12,CHAMP
2370,109,19,178.27,3,4,4,344,11,LOYAL
3028,204,15,178.2,2,4,4,244,10,RISK
2857,256,15,177.81,2,4,4,244,10,RISK
3467,6,13,177.76,4,3,4,434,11,POT_LOYAL
2380,82,16,177.75,3,4,4,344,11,LOYAL
3483,38,15,177.67,4,4,4,444,12,CHAMP
4473,114,14,177.51,3,4,4,344,11,LOYAL
2834,4,10,177.32,4,3,4,434,11,POT_LOYAL
3649,192,17,177.2,2,4,4,244,10,RISK
3165,33,18,177.11,4,4,4,444,12,CHAMP
2178,10,11,177.1,4,3,4,434,11,POT_LOYAL
4086,410,13,176.96,1,3,4,134,8,LOYAL
2151,92,11,176.95,3,3,4,334,10,LOYAL
3442,46,13,176.3,4,3,4,434,11,POT_LOYAL
3581,5,20,176.22,4,4,4,444,12,CHAMP
4588,52,21,176.21,4,4,4,444,12,CHAMP
4380,57,11,175.9,3,3,4,334,10,LOYAL
1494,92,16,175.74,3,4,4,344,11,LOYAL
1435,250,15,175.55,2,4,4,244,10,RISK
4747,128,16,175.44,3,4,4,344,11,LOYAL
4049,151,12,174.91,2,3,4,234,9,LOYAL
1729,15,15,174.7,4,4,4,444,12,CHAMP
1395,79,23,174.64,3,4,4,344,11,LOYAL
3579,0,13,174.6,4,3,4,434,11,POT_LOYAL
1510,66,18,174.51,3,4,4,344,11,LOYAL
4584,28,10,174.31,4,3,4,434,11,POT_LOYAL
1118,5,18,173.4,4,4,4,444,12,CHAMP
4096,184,10,173.0,2,3,4,234,9,LOYAL
2659,22,16,172.98,4,4,4,444,12,CHAMP
1477,40,17,172.9,4,4,4,444,12,CHAMP
4952,69,15,172.5,3,4,4,344,11,LOYAL
4937,185,16,172.04,2,4,4,244,10,RISK
3380,49,17,171.9,4,4,4,444,12,CHAMP
4799,252,19,171.85,2,4,4,244,10,RISK
4412,10,13,171.56,4,3,4,434,11,POT_LOYAL
3429,184,18,171.52,2,4,4,244,10,RISK
1595,86,21,171.5,3,4,4,344,11,LOYAL
1208,14,11,171.47,4,3,4,434,11,POT_LOYAL
2810,0,17,171.4,4,4,4,444,12,CHAMP
3821,361,17,171.11,1,4,4,144,9,CANT_LOSE
3971,0,15,171.04,4,4,4,444,12,CHAMP
3832,166,15,170.97,2,4,4,244,10,RISK
2222,2,19,170.95,4,4,4,444,12,CHAMP
3920,234,11,170.9,2,3,4,234,9,LOYAL
2077,229,15,170.9,2,4,4,244,10,RISK
2718,201,20,170.72,2,4,4,244,10,RISK
4430,28,14,170.71,4,4,4,444,12,CHAMP
3629,261,13,170.51,2,3,4,234,9,LOYAL
1608,47,18,170.12,4,4,4,444,12,CHAMP
4112,247,18,170.01,2,4,4,244,10,RISK
2133,147,16,169.98,2,4,4,244,10,RISK
3827,57,17,169.74,3,4,4,344,11,LOYAL
3346,233,6,169.7,2,1,4,214,7,LOYAL
2202,93,13,169.45,3,3,4,334,10,LOYAL
1483,186,19,169.23,2,4,4,244,10,RISK
4353,128,16,169.01,3,4,4,344,11,LOYAL
1456,40,18,168.74,4,4,4,444,12,CHAMP
3862,42,21,168.55,4,4,4,444,12,CHAMP
2079,164,14,168.41,2,4,4,244,10,RISK
1998,226,27,168.05,2,4,4,244,10,RISK
1198,333,7,167.9,1,2,4,124,7,LOYAL
1245,26,19,167.72,4,4,4,444,12,CHAMP
4804,3,17,167.55,4,4,4,444,12,CHAMP
3474,127,16,167.4,3,4,4,344,11,LOYAL
2568,82,19,167.31,3,4,4,344,11,LOYAL
3437,331,14,167.22,1,4,4,144,9,CANT_LOSE
2746,215,15,167.15,2,4,4,244,10,RISK
2847,37,13,167.0,4,3,4,434,11,POT_LOYAL
2298,85,20,166.8,3,4,4,344,11,LOYAL
4657,137,20,166.8,3,4,4,344,11,LOYAL
1248,15,16,166.66,4,4,4,444,12,CHAMP
4601,15,15,166.65,4,4,4,444,12,CHAMP
2389,47,16,166.19,4,4,4,444,12,CHAMP
3299,305,11,166.1,1,3,4,134,8,LOYAL
3358,276,18,165.9,1,4,4,144,9,CANT_LOSE
3247,59,24,165.9,3,4,4,344,11,LOYAL
2560,34,24,165.52,4,4,4,444,12,CHAMP
4220,39,16,165.51,4,4,4,444,12,CHAMP
1419,267,15,165.5,2,4,4,244,10,RISK
2059,479,9,165.36,1,2,4,124,7,LOYAL
4433,219,17,165.2,2,4,4,244,10,RISK
2381,227,19,165.02,2,4,4,244,10,RISK
4999,4,16,164.87,4,4,4,444,12,CHAMP
1613,127,15,164.71,3,4,4,344,11,LOYAL
1385,34,15,164.7,4,4,4,444,12,CHAMP
1782,81,13,164.21,3,3,4,334,10,LOYAL
2234,6,20,164.2,4,4,4,444,12,CHAMP
2928,99,9,164.0,3,2,4,324,9,LOYAL
3308,68,28,163.94,3,4,4,344,11,LOYAL
2868,26,21,163.9,4,4,4,444,12,CHAMP
2618,27,16,163.9,4,4,4,444,12,CHAMP
3046,42,23,163.8,4,4,4,444,12,CHAMP
1460,189,10,163.7,2,3,4,234,9,LOYAL
1711,38,19,163.66,4,4,4,444,12,CHAMP
1444,1,20,163.32,4,4,4,444,12,CHAMP
2550,7,16,163.15,4,4,4,444,12,CHAMP
4165,134,20,163.15,3,4,4,344,11,LOYAL
4153,156,22,163.0,2,4,4,244,10,RISK
4699,151,18,162.93,2,4,4,244,10,RISK
3182,76,14,162.9,3,4,4,344,11,LOYAL
2946,56,18,162.74,4,4,4,444,12,CHAMP
4946,56,18,162.5,4,4,4,444,12,CHAMP
3959,86,14,162.5,3,4,4,344,11,LOYAL
4735,273,12,162.1,1,3,4,134,8,LOYAL
4251,9,21,162.0,4,4,4,444,12,CHAMP
3369,1,15,161.84,4,4,4,444,12,CHAMP
2694,36,19,161.77,4,4,4,444,12,CHAMP
2799,111,21,161.7,3,4,4,344,11,LOYAL
1859,216,11,161.41,2,3,4,234,9,LOYAL
2089,60,16,161.3,3,4,4,344,11,LOYAL
3684,139,13,161.3,2,3,4,234,9,LOYAL
1190,64,17,161.1,3,4,4,344,11,LOYAL
3779,50,15,161.05,4,4,4,444,12,CHAMP
1237,265,20,160.81,2,4,4,244,10,RISK
1855,51,13,160.65,4,3,4,434,11,POT_LOYAL
1959,17,19,160.61,4,4,4,444,12,CHAMP
4594,190,18,160.6,2,4,4,244,10,RISK
4495,14,23,160.55,4,4,4,444,12,CHAMP
4376,38,26,160.32,4,4,4,444,12,CHAMP
2755,227,15,160.3,2,4,4,244,10,RISK
3766,52,9,160.13,4,2,4,424,10,POT_LOYAL
1620,132,11,160.11,3,3,4,334,10,LOYAL
2599,38,15,160.1,4,4,4,444,12,CHAMP
4825,45,14,160.0,4,4,4,444,12,CHAMP
4321,64,18,159.61,3,4,4,344,11,LOYAL
1404,241,18,159.51,2,4,4,244,10,RISK
3926,132,18,159.42,3,4,4,344,11,LOYAL
1708,2,16,159.4,4,4,4,444,12,CHAMP
4576,104,14,159.4,3,4,4,344,11,LOYAL
2093,201,16,159.31,2,4,4,244,10,RISK
2713,134,10,159.3,3,3,4,334,10,LOYAL
1999,128,16,159.25,3,4,4,344,11,LOYAL
2499,38,15,159.22,4,4,4,444,12,CHAMP
4667,127,17,159.0,3,4,4,344,11,LOYAL
3682,79,19,158.98,3,4,4,344,11,LOYAL
2348,19,18,158.92,4,4,4,444,12,CHAMP
2600,14,19,158.9,4,4,4,444,12,CHAMP
3517,19,22,158.74,4,4,4,444,12,CHAMP
3608,33,14,158.66,4,4,4,444,12,CHAMP
1827,182,23,158.6,2,4,4,244,10,RISK
2365,192,17,158.6,2,4,4,244,10,RISK
3663,40,19,158.5,4,4,4,444,12,CHAMP
3847,27,11,158.1,4,3,4,434,11,POT_LOYAL
4708,89,14,157.8,3,4,4,344,11,LOYAL
1931,82,16,157.7,3,4,4,344,11,LOYAL
1583,37,20,157.65,4,4,4,444,12,CHAMP
1146,109,20,157.52,3,4,4,344,11,LOYAL
2723,57,10,157.51,3,3,4,334,10,LOYAL
4155,97,17,157.5,3,4,4,344,11,LOYAL
2573,361,16,157.41,1,4,4,144,9,CANT_LOSE
1116,31,24,157.4,4,4,4,444,12,CHAMP
4261,317,12,157.25,1,3,4,134,8,LOYAL
2435,92,12,157.05,3,3,4,334,10,LOYAL
4364,6,22,157.05,4,4,4,444,12,CHAMP
1737,116,21,156.97,3,4,4,344,11,LOYAL
4721,177,19,156.91,2,4,4,244,10,RISK
3509,175,14,156.61,2,4,4,244,10,RISK
2363,66,11,156.6,3,3,4,334,10,LOYAL
4585,93,21,156.56,3,4,4,344,11,LOYAL
4028,175,10,156.5,2,3,4,234,9,LOYAL
2209,88,14,156.4,3,4,4,344,11,LOYAL
2765,30,12,156.26,4,3,4,434,11,POT_LOYAL
1241,222,11,156.22,2,3,4,234,9,LOYAL
3082,96,26,156.17,3,4,4,344,11,LOYAL
3898,131,9,156.01,3,2,4,324,9,LOYAL
2142,188,19,156.01,2,4,4,244,10,RISK
1231,64,16,156.0,3,4,4,344,11,LOYAL
4745,6,17,155.98,4,4,4,444,12,CHAMP
1008,88,12,155.91,3,3,4,334,10,LOYAL
1110,40,18,155.9,4,4,4,444,12,CHAMP
4324,359,13,155.81,1,3,4,134,8,LOYAL
2578,29,18,155.77,4,4,4,444,12,CHAMP
2232,238,14,155.7,2,4,4,244,10,RISK
1682,59,20,155.66,3,4,4,344,11,LOYAL
2164,36,25,155.61,4,4,4,444,12,CHAMP
2787,189,16,155.6,2,4,4,244,10,RISK
3560,92,17,155.6,3,4,4,344,11,LOYAL
3642,309,11,155.26,1,3,4,134,8,LOYAL
1706,138,14,155.0,3,4,4,344,11,LOYAL
1832,43,16,154.76,4,4,4,444,12,CHAMP
4453,129,16,154.6,3,4,4,344,11,LOYAL
3856,272,13,154.6,1,3,4,134,8,LOYAL
3956,376,16,154.44,1,4,4,144,9,CANT_LOSE
1296,37,17,154.35,4,4,4,444,12,CHAMP
3398,294,11,154.31,1,3,4,134,8,LOYAL
2374,190,14,154.3,2,4,4,244,10,RISK
4947,42,14,154.25,4,4,4,444,12,CHAMP
2400,283,12,154.16,1,3,4,134,8,LOYAL
4566,122,13,153.97,3,3,4,334,10,LOYAL
2584,249,20,153.97,2,4,4,244,10,RISK
2031,307,13,153.9,1,3,4,134,8,LOYAL
1235,215,18,153.88,2,4,4,244,10,RISK
4526,128,20,153.76,3,4,4,344,11,LOYAL
1197,38,18,153.6,4,4,4,444,12,CHAMP
2957,33,19,153.56,4,4,4,444,12,CHAMP
1373,164,14,153.4,2,4,4,244,10,RISK
2961,44,20,153.36,4,4,4,444,12,CHAMP
1534,139,18,153.32,2,4,4,244,10,RISK
3148,277,11,153.16,1,3,4,134,8,LOYAL
4524,4,22,153.0,4,4,4,444,12,CHAMP
4468,198,16,152.8,2,4,4,244,10,RISK
2648,52,13,152.7,4,3,4,434,11,POT_LOYAL
1275,73,24,152.56,3,4,4,344,11,LOYAL
4694,42,20,152.55,4,4,4,444,12,CHAMP
2814,70,17,152.42,3,4,4,344,11,LOYAL
1422,87,19,152.41,3,4,4,344,11,LOYAL
4018,43,17,152.1,4,4,4,444,12,CHAMP
3603,334,12,152.05,1,3,4,134,8,LOYAL
4788,246,13,152.02,2,3,4,234,9,LOYAL
3276,183,15,151.8,2,4,4,244,10,RISK
1504,30,11,151.71,4,3,4,434,11,POT_LOYAL
1646,124,17,151.66,3,4,4,344,11,LOYAL
2267,49,14,151.6,4,4,4,444,12,CHAMP
4002,118,14,151.55,3,4,4,344,11,LOYAL
4967,98,12,151.4,3,3,4,334,10,LOYAL
2100,78,15,151.15,3,4,4,344,11,LOYAL
4312,16,17,151.06,4,4,4,444,12,CHAMP
1624,8,9,151.0,4,2,4,424,10,POT_LOYAL
1621,313,14,150.72,1,4,4,144,9,CANT_LOSE
4548,153,15,150.7,2,4,4,244,10,RISK
4215,183,18,150.7,2,4,4,244,10,RISK
3812,47,20,150.65,4,4,4,444,12,CHAMP
4864,26,25,150.58,4,4,4,444,12,CHAMP
3287,331,13,150.45,1,3,4,134,8,LOYAL
3545,30,11,150.4,4,3,4,434,11,POT_LOYAL
2421,38,21,150.3,4,4,4,444,12,CHAMP
2466,81,9,150.2,3,2,4,324,9,LOYAL
3393,53,19,150.15,4,4,4,444,12,CHAMP
1997,2,21,150.12,4,4,4,444,12,CHAMP
4045,8,11,149.91,4,3,4,434,11,POT_LOYAL
1094,113,20,149.81,3,4,4,344,11,LOYAL
3322,80,16,149.8,3,4,4,344,11,LOYAL
2952,35,15,149.36,4,4,4,444,12,CHAMP
2357,98,19,149.36,3,4,4,344,11,LOYAL
2612,213,18,149.27,2,4,4,244,10,RISK
1061,116,14,149.11,3,4,4,344,11,LOYAL
3692,73,12,149.1,3,3,4,334,10,LOYAL
4759,313,11,148.85,1,3,4,134,8,LOYAL
3472,244,12,148.8,2,3,4,234,9,LOYAL
2547,36,12,148.6,4,3,4,434,11,POT_LOYAL
2144,359,10,148.6,1,3,4,134,8,LOYAL
2835,82,19,148.52,3,4,4,344,11,LOYAL
2045,23,15,148.41,4,4,4,444,12,CHAMP
3389,135,13,148.4,3,3,4,334,10,LOYAL
4044,29,10,148.4,4,3,4,434,11,POT_LOYAL
3547,32,18,148.1,4,4,4,444,12,CHAMP
3077,121,17,148.01,3,4,4,344,11,LOYAL
3558,102,17,148.0,3,4,4,344,11,LOYAL
3783,191,23,148.0,2,4,4,244,10,RISK
1602,123,14,148.0,3,4,4,344,11,LOYAL
3511,45,14,147.94,4,4,4,444,12,CHAMP
3701,247,12,147.69,2,3,4,234,9,LOYAL
4877,54,21,147.41,4,4,4,444,12,CHAMP
3438,3,16,147.35,4,4,4,444,12,CHAMP
